"Date","Time","Station","Latitude","Longitude","Target_Depth","CTD_Depth","CTD_Salinity","CTD_Temperature","Bottle_Salinity","d18O","Ba","Si","NO3","NO2","NH4","P","TA","O2"
2008-03-21,1899-12-31 21:56:46,"73N,140W",73.0208333333333,-139.8885,20,15.127,26.0658,-1.423,26.0658,-3.53176972435503,72.4,2.4599,-0.0311,0.0562,0.1974,0.5934,1895.2,9.246
2008-03-21,1899-12-31 21:56:46,"73N,140W",73.0208333333333,-139.8885,60,60.5559,29.1798,-0.93431,29.1798,-3.18565097831506,82.8479822574905,2.8242,0.026,0.17255,0.05575,0.73175,2094.5,-99
2008-03-21,1899-12-31 21:56:46,"73N,140W",73.0208333333333,-139.8885,85,85.7471,31.4023,-0.14583,31.4023,-2.10872670676941,60.5525706574982,7.5436,2.6964,0.0217,0.0691,1.0298,2194.2,-99
2008-03-21,1899-12-31 21:56:46,"73N,140W",73.0208333333333,-139.8885,190,191.4073,33.1268,-1.4775,33.1268,-1.42934554019773,76.1338179271525,36.5768,15.8538,0.0246,0.0591,1.8745,2268.4,-99
2008-03-21,1899-12-31 21:56:46,"73N,140W",73.0208333333333,-139.8885,310,309.2524,34.6233,0.25782,34.6233,0.0846772943960761,-99,8.0634,12.1601,-0.0013,0.0653,0.8767,2296.5,6.656
2008-03-22,1899-12-31 21:45:27,"72N,140W",72.0505,-140.111833333333,20,20.9588,26.1788,-1.4007,26.1788,-3.5268255278705,70.6843000534992,2.782,0.048,0.0482,0.3739,0.5919,1902.9,9.186
2008-03-22,1899-12-31 21:45:27,"72N,140W",72.0505,-140.111833333333,60,61.9388,30.0447,-0.79561,30.0447,-2.97946313110129,71.0358276467001,3.8193,0.3464,0.0367,0.1708,0.7796,2132.6,8.892
2008-03-22,1899-12-31 21:45:27,"72N,140W",72.0505,-140.111833333333,85,85.7727,31.6626,-0.37993,31.6626,-1.92231706014222,66,11.8006,5.0583,0.0107,0.1768,1.1834,2200.8,7.909
2008-03-22,1899-12-31 21:45:27,"72N,140W",72.0505,-140.111833333333,190,195.0833,33.2026,-1.4877,33.2026,-1.3739662956256,86.0883192019602,35.8963,15.6003,0.00795,0.1537,1.8152,2276.45,6.447
2008-03-22,1899-12-31 21:45:27,"72N,140W",72.0505,-140.111833333333,310,318.2476,34.664,0.298,34.664,0.0782496031914479,50.3270510256218,11.3876,12.8889,0.0051,0.1787,0.9631,2281.3,-99
2008-03-22,1899-12-31 21:45:27,"72N,140W",72.0505,-140.111833333333,430,442.17,34.8226,0.70085,34.8181,0.201863474744971,45.0744943786316,7.036,13.0992,0.0225,0.1128,0.8496,2312.3,-99
2008-03-22,1899-12-31 01:36:12,"72_40N,145W",72.6868333333333,-144.840333333333,20,19.218,26.7345,-1.3608,26.7516,-3.52880320646431,72.5301975188762,2.855,0.8093,0.1505,0.1028,0.6145,1944.55,6.538
2008-03-22,1899-12-31 01:36:12,"72_40N,145W",72.6868333333333,-144.840333333333,60,60.318,30.5537,-0.9611,30.5537,-2.60713849327011,65.7,4.2973,1.2415,0.0242,0.0358,0.8316,2176.2,-99
2008-03-22,1899-12-31 01:36:12,"72_40N,145W",72.6868333333333,-144.840333333333,85,84.593,31.6312,-0.95765,31.6312,-2.04543674782204,69.8634861776188,11.4117,5.6539,0.005,0.0522,1.1555,2203.5,-99
2008-03-22,1899-12-31 01:36:12,"72_40N,145W",72.6868333333333,-144.840333333333,190,190.4047,33.2165,-1.5293,33.2165,-1.45752911058275,84.9663347484367,32.9216,15.5624,0.0212,0.0186,1.7974,2271.05,-99
2008-03-22,1899-12-31 01:36:12,"72_40N,145W",72.6868333333333,-144.840333333333,310,309.9182,34.4674,-0.19539,34.4674,-0.0458589237852763,49.6550011048891,10.4193,12.1527,0.0084,0.01,0.9163,-99,9.2265
2008-03-23,1899-12-31 20:54:32,"73_40N,136W",73.5865,-136.541166666667,20,21.3451,25.4994,-1.3802,25.4994,-3.73103546071572,73.0489354240108,2.8285,-0.0499,0.0625,0.2831,0.5732,1877.7,-99
2008-03-23,1899-12-31 20:54:32,"73_40N,136W",73.5865,-136.541166666667,60,60.557,29.3092,-0.8049,29.3317,-3.26773077010161,74.3265952887823,3.3733,0.3249,0.0639,0.0567,0.7215,-99,9.063
2008-03-23,1899-12-31 20:54:32,"73_40N,136W",73.5865,-136.541166666667,85,86.2632,31.5588,-0.34769,31.5588,-1.99697984987773,60,10.25845,4.3524,0.03045,0.0397,1.1334,2202.7,-99
2008-03-23,1899-12-31 20:54:32,"73_40N,136W",73.5865,-136.541166666667,190,194.0801,33.2733,-1.4177,33.27325,-1.33539873374933,81.8,34.7029,15.6287,0.0254,0.0143,1.8736,2302.6,-99
2008-03-23,1899-12-31 20:54:32,"73_40N,136W",73.5865,-136.541166666667,310,317.62,34.6718,0.36942,34.6811,0.0995112984981373,45.0708544316655,7.5411,11.8937,0.0126,0.0058,0.8854,2279,-99
2008-03-23,1899-12-31 20:54:32,"73_40N,136W",73.5865,-136.541166666667,430,439.68,34.8184,0.6256,34.8197,0.207302798202192,50.8,6.9981,12.5662,0.014,0.0056,0.8894,2290.5,6.8
2008-03-24,1899-12-31 00:45:19,"74N,140W",74.0393333333333,-140.311166666667,20,21.1905,27.0272,-1.4721,27.0272,-3.51594735250556,68.5150927200718,2.58285,0.6637,0.0811,0.1908,0.6193,1955.9,9.1485
2008-03-24,1899-12-31 00:45:19,"74N,140W",74.0393333333333,-140.311166666667,60,60.4238,29.1833,-1.1501,29.1833,-3.29838714605314,71.7196613055638,3.3926,0.7767,0.1819,0.0365,0.7144,2109.9,-99
2008-03-24,1899-12-31 00:45:19,"74N,140W",74.0393333333333,-140.311166666667,85,85.8494,31.0455,-0.47467,31.0455,-2.40589484254086,67.0526841393132,6.0973,2.1004,0.0245,0.0451,0.9199,2182.7,-99
2008-03-24,1899-12-31 00:45:19,"74N,140W",74.0393333333333,-140.311166666667,190,191.3721,32.999,-1.516,32.999,-1.48769130266058,80.7,33.5223,15.5084,0.0161,0.0118,1.8656,2270.8,6.52
2008-03-24,1899-12-31 20:50:16,"74_40N,146W",74.6355,-146.671666666667,20,21.1842,28.137,-1.4915,28.13695,-3.37156644106855,70.9,3.1535,0.2806,0.273,0.024,0.6826,2029.7,-99
2008-03-24,1899-12-31 20:50:16,"74_40N,146W",74.6355,-146.671666666667,60,61.6088,30.4889,-0.92301,30.4889,-2.80294282054214,67.4927890080735,4.70045,0.90435,0.0118,0.02795,0.8394,2144.2,-99
2008-03-24,1899-12-31 20:50:16,"74_40N,146W",74.6355,-146.671666666667,85,86.12,31.3463,-0.65662,31.3463,-2.19377348799616,65.0777496888216,8.5839,3.2306,0.0161,0.0239,1.0325,2195.2,8.285
2008-03-24,1899-12-31 20:50:16,"74_40N,146W",74.6355,-146.671666666667,190,193.7434,32.8647,-1.5222,32.8647,-1.57471481938215,84.3384987552669,31.0631,14.9727,0.0238,0.008,1.8282,2292.25,6.6095
2008-03-25,1899-12-31 23:50:29,"74_20N,143W",74.301,-143.284,20,21.62,27.3002,-1.4814,27.305,-3.48232422288857,-99,2.6942,0.1415,0.1041,0.1292,0.6187,1987.8,9.199
2008-03-25,1899-12-31 23:50:29,"74_20N,143W",74.301,-143.284,60,60.767,29.3703,-1.2908,29.3703,-3.1362054768486,70.1,3.4018,0.2922,0.1899,0.0242,0.7282,2103.3,-99
2008-03-25,1899-12-31 23:50:29,"74_20N,143W",74.301,-143.284,85,85.9408,31.1251,-0.4013,31.1251,-2.37672196130944,62.7632331862316,6.53455,1.90445,0.04165,0.0202,0.93695,2189.05,-99
2008-03-25,1899-12-31 23:50:29,"74_20N,143W",74.301,-143.284,190,193.0119,33.0135,-1.5317,33.0135,-1.56878178360072,71.7,33.2638,15.1859,0.0373,0.0081,1.8297,-99,6.54
