iucn_sid,am_sid,sciname,area_am,area_iucn_shallow,area_overlap_shallow,sm_perc_shallow,sm_range_shallow,area_ratio_shallow,area_iucn_raw,area_overlap_raw,sm_perc_raw,sm_range_raw,area_ratio_raw
132859,URM-Cn-5604,Oulastrea crispata,6143414.3,9610987.2,4591052.549337752,74.731,AM,63.921,14064717.7,4709103.038850522,76.653,AM,43.68
132860,SLB-62998,Psammocora stellata,2432985.2,1961441.9,1213962.6392177565,61.891,IUCN,80.619,4553046.9,1276849.5439564995,52.481,AM,53.436
132863,SLB-93516,Acropora prostrata,8227951.7,7411115.2,5736332.288712124,77.402,IUCN,90.072,12767200,5882467.689184188,71.494,AM,64.446
132866,URM-Cn-4877,Montipora angulata,11276148.4,10557634.1,8523741.720797095,80.735,IUCN,93.628,17242193.6,8689466.104152283,77.061,AM,65.399
132869,URM-Cn-4750,Acropora florida,10313593.3,12904568.5,9025256.531226376,87.508,AM,79.922,23615392.7,9242604.379089657,89.616,AM,43.673
132871,URM-Cn-5952,Pectinia elongata,2042694.5,6253736.3,1752009.6491082238,85.77,AM,32.664,12521729.4,1807224.9918294954,88.473,AM,16.313
132874,URM-Cn-5888,Scolymia lacera,2190123.2,1994437.7,427603.2244706805,21.44,IUCN,91.065,3277527.9,427603.2244706805,19.524,AM,66.822
132875,URM-Cn-5982,Pocillopora kelleheri,5667840.2,3001949.8,2005822.9333611326,66.817,IUCN,52.965,4691240.7,2084822.8942317723,44.441,IUCN,82.769
132876,URM-Cn-4973,Leptoseris tubulifera,3307910.3,5396015.4,2198618.4900216865,66.465,AM,61.303,8773659.8,2302709.9469815735,69.612,AM,37.703
132877,URM-Cn-5759,Fungia fralinae,1891394.3,3682481.6,1666116.1877360863,88.089,AM,51.362,6414326.8,1712102.3716301073,90.521,AM,29.487
132878,URM-Cn-5549,Favia maxima,5039798.3,11652173.3,4438412.237881804,88.067,AM,43.252,17988781.2,4574511.392247588,90.768,AM,28.016
132880,URM-Cn-4995,Pavona venosa,11436066.4,13692316.4,9602949.96162282,83.971,AM,83.522,24105887.2,9816997.141740222,85.842,AM,47.441
132883,URM-Cn-5572,Goniastrea australensis,6194337.4,13382409.7,5084814.8992970325,82.088,AM,46.287,25602176.4,5304350.361000143,85.632,AM,24.195
132884,URM-Cn-5508,Colpophyllia natans,1337472.9,2163448.8,1252197.6440900804,93.624,AM,61.821,3517433.6,1275543.976209569,95.37,AM,38.024
132885,URM-Cn-4965,Leptoseris hawaiiensis,13602045.8,14017008.8,10419581.929294836,76.603,AM,97.04,25936278.6,10674544.816314798,78.477,AM,52.444
132886,SLB-93397,Acropora seriata,3588971,4693240.4,2581828.8007808337,71.938,AM,76.471,6987192.9,2615502.4642686234,72.876,AM,51.365
132892,URM-Cn-4910,Montipora hodgsoni,5777116.8,5445516.7,4181648.182546173,76.791,IUCN,94.26,8458041.8,4273581.1758737415,73.974,AM,68.303
132894,URM-Cn-5557,Favia veroni,5368772.2,11602940.1,4638621.934313838,86.4,AM,46.271,19709144.5,4819740.458721163,89.774,AM,27.24
132900,URM-Cn-5894,Symphyllia radians,13128206.3,13120216.2,10364731.532988103,78.998,IUCN,99.939,21985243.5,10590611.730272623,80.671,AM,59.714
132902,SLB-62642,Fungia puishani,614004.1,669177.7,482043.9288256665,78.508,AM,91.755,1525690.1,482043.9288256665,78.508,AM,40.244
132903,URM-Cn-4970,Leptoseris solida,8177866.4,8871298.2,4838302.792148162,59.163,AM,92.183,18259556.9,5034900.332216622,61.567,AM,44.787
132906,SLB-93376,Acropora irregularis,7631181,6576466,4637776.57562338,70.521,IUCN,86.179,11416584.5,4698111.169966941,61.565,AM,66.843
132908,URM-Cn-4818,Acropora rosaria,10241229.5,8929290.7,6793532.235395556,76.081,IUCN,87.19,17184773.6,6978113.121255482,68.137,AM,59.595
132909,URM-Cn-4848,Acropora turaki,6584709.7,6701847.2,4673617.137010884,70.977,AM,98.252,10005257.6,4762296.64407947,72.324,AM,65.812
132911,URM-Cn-4992,Pavona maldivensis,15018027,15166786.9,12093284.345767438,80.525,AM,99.019,29132833.9,12393599.700180449,82.525,AM,51.55
132915,SLB-158712,Siderastrea stellata,2997345.3,528938.9,452941.95513396885,85.632,IUCN,17.647,686235.6,465183.25526123605,67.788,IUCN,22.895
132916,URM-Cn-5470,Turbinaria irregularis,2547098.7,9011712.7,2262674.549803402,88.833,AM,28.264,16010025.7,2317863.1451506126,91,AM,15.909
132917,URM-Cn-4958,Gardineroseris planulata,15874009.9,15535267.5,12526839.853388285,80.635,IUCN,97.866,29409070.4,12827155.207801295,80.806,AM,53.977
