eventName,StartDate,location
arctic-2022-02,2022-02-18,remote
rrtfss-2021-07,2021-07-14,remote
rrtfss-2021-11,2021-11-19,remote
arctic-2019-10,2019-10-11,nceas
rrtfss-2020-02,2020-02-07,nceas
arctic-2018-08,2018-08-17,nceas
